Case Number,Status,Age (Days),Description,Summary,Distinct Capabilities Matched,Fit,Urgency,Priority
00005662,Scoping,111,"Romy is looking for support in understanding how to approach Earned Value Management (EVM), a Department of Defense?driven measurement requirement that demands significant data collection, integration, and synthesis across multiple systems. Because <CLIENT> is not fully on SAP, and because SAP provides only partial embedded EVM capabilities, Romy is trying to determine whether this challenge should be treated primarily as a business-process problem or as a data and AI problem requiring a different kind of solution. She wants clarity on the true nature of the problem so <CLIENT> can make better decisions about tooling, data architecture, and organizational ownership. Romy is curious whether anyone within the IIA network has successfully navigated this- specifically, someone who has managed EVM at scale, integrated heterogeneous data sources, and built a robust operational or AI-assisted measurement process. Her goal is to understand best practices, common failure points, and what a realistic path forward looks like for organizations not fully aligned to SAP?s embedded solution. Ultimately, she is looking for expert guidance on how to frame the problem, what capabilities must be built internally, and whether AI-enabled data integration should play a central role.",Government contractor needs data integration solution for DoD Earned Value Management requirements across heterogeneous systems.,DataLake Architecture,4,5,20
00005908,Pending Expert,84,"<MD> asked if we could help with ""raising the bar"" in ""causal"" / predictive analytics.",Organization seeking to enhance causal and predictive analytics capabilities.,"ML Model Development, Predictive Analytics",4,5,20
00005932,New,20,"Email from Joe: Under the ""Transform Employer/Group Reporting"" objective, I mention demonstrating clinical program value. We're in the process of developing a reporting suite for the clinical vendor programs we outsource. There are about 12 vendor programs for which we've identified process and outcomes measures.",Healthcare organization needs reporting suite development for clinical vendor programs with process and outcomes measures.,"ML Model Development, Predictive Analytics",4,5,20
00005881,Pending Expert,20,"<CLIENT> is launching a Q2 task force focused on strengthening the connection between the professional channel (dentists and veterinarians) and end consumers. She is looking for support in developing a data-driven strategy to better influence how dental offices recommend and promote new <CLIENT> products, ensure the salesforce is effectively positioning the latest innovations, and establish measurable ways to track the customer journey from professional recommendation to retail shelf purchase. Specifically, she needs guidance on identifying and integrating the right data sources, measuring, and creating clear visibility into how professional engagement drives consumer behavior and product uptake.",Healthcare/dental company needs data-driven strategy to track customer journey from professional recommendation to retail purchase with integrated data sources.,"DataLake Architecture, Predictive Analytics",4,5,20
00005945,Scoping,16,"<CLIENT> is looking for insight to support an evolving AI-driven customer listening initiative. Her work, rooted in earlier NLP efforts and now expanding through LLM, focuses on developing a more advanced, integrated listening capability within customer marketing. She is refining how AI use cases are evaluated and prioritized (including build vs. buy decisions), while also advancing a broader listening strategy that synthesizes feedback across multiple stakeholder groups. This is not traditional voice-of-customer work; it is a niche analytics capability that blends psychometrics, AI, and structured decision frameworks. <CLIENT> is interested in learning from organizations that have successfully integrated listening across customers, employees, and suppliers into a unified insight system. She is curious how large, complex enterprises, such as Walmart, approach multi-audience listening at scale, including how supplier feedback is incorporated alongside employee and customer signals. She is looking for expert perspectives from leaders deeply embedded in this niche, especially those who have operationalized cross-stakeholder listening ecosystems and can share practical insight on governance, integration, and applied AI methodologies. She realizes that this may be a stretch for us to find the right person here, but is eager to see if we can identify anyone who could support her and firm up her thinking.",AI-driven customer listening system development using LLMs for multi-stakeholder feedback integration.,"LLM Implementation, ML Model Development",4,5,20
00005909,Exchange Scheduled,43,"Traci would like support in helping her analytics team move from early AI exploration to practical, value-driven use cases, particularly within demand planning, forecasting, and order fulfillment. While there is strong top-<CLIENT>n pressure across the organization to ?do more with AI,? her team is still in the phase of defining what AI realistically means for their workflows, where it can improve existing forecasting tools, and how to prioritize opportunities with clear ROI. She is especially interested in learning from peer organizations that have implemented AI in similar contexts, both what has worked and what has not, to avoid hype-driven adoption. Given ongoing resource constraints, Traci is looking for pragmatic guidance that helps her team enhance efficiency and decision-making without adding unnecessary complexity or overhead.",Analytics team leader needs guidance transitioning from AI exploration to practical forecasting and demand planning implementations with clear ROI.,"Predictive Analytics, ML Model Development",4,4,16
00005900,Pending Expert,143,"Jodi is looking for support with building out insight models within her newly formed Solutions-as-a-Service (S<CLIENT>S) group. Her team is transitioning from reactive, ad hoc analytics work to more proactive, scalable modeling efforts. Given time constraints and limited capacity, Jodi is looking for content and literature that showcases how other organizations are approaching model-building in the S<CLIENT>S space. She?s specifically interested in learning about best practices, assumptions others are making, and practical examples that can accelerate her team?s work without having to reinvent the wheel. Jodi would also like to explore standard metrics used by other S<CLIENT>S organizations, both inputs and outputs, to ensure her team is capturing the right signals and measuring what matters. This initial content review may lead to future expert inquiries or peer conversations depending on gaps or areas where deeper guidance is needed. __________________________________ I would be interested to dive into S<CLIENT>S metrics with some experts in the network if that?s possible to get setup. I would pull in my two peers and managers if that?s an acceptable count to the group. I can provide their emails as well. Her first conversation with Gary Cao did not hit the mark",SaaS organization needs guidance on building predictive models and establishing metrics frameworks.,ML Model Development,4,4,16
00005947,New,34,"<CLIENT> has delivered an initial MVP of its enterprise data and AI platform, which is already being used by business units, and is now focused on significantly expanding platform capabilities in 2026 across data ingestion, storage, processing, security, governance, and AI-ready data products. While the platform is successfully enabling data access and products, the team is struggling with how to translate that foundation into tangible AI and agentic AI outcomes. There is a lack of clarity on how organizations are evolving toward agent-based AI models and how AWS-native services can be leveraged to support that evolution. Subash is looking for guidance, ideally grounded in AWS, on what comes after data products and how to operationalize AI capabilities in a way that delivers clear business value.",Enterprise client with existing data platform seeking guidance on implementing agentic AI and AI agents using AWS services.,"AI Agents & Chatbots, DataLake Architecture",4,4,16
00005821,Scheduling Offered,148,"Wendy is trying to think through how to help her team strategically navigate and prioritize AI application development, specifically around GenAI, LLMs, and computer vision. While her team delivers high-value work across product, engineering, and quality using telematics and internal data, they are stretched thin with reactive project demands, leaving limited bandwidth to explore emerging AI capabilities. Wendy wants to ensure her organization doesn't fall behind, and is seeking examples of where AI has been successfully applied in engineering and product development contexts, particularly from peers who have moved past experimentation into deployment. She?s also looking to understand the practical steps needed to move from ideation to implementation, including training, change management, and measuring business value. Wendy is motivated to avoid wasting resources on ineffective use cases and sees access to real-world insights and practitioner experiences as critical to making informed investment decisions.","Engineering team needs strategic guidance on GenAI, LLMs, and computer vision implementation with focus on moving from ideation to deployment.","LLM Implementation, Machine Vision/Computer Vision, ML Model Development",4,4,16
00005935,Pending Expert,30,"Curt is seeking out support as he builds out and refines an agentic AI policy and overall strategy, with a focus on ensuring the approach is practical, defensible, and aligned with how agentic AI tools are being adopted in the organization today. Ideally, he would like to engage an experienced expert to review draft policy and strategy materials, provide feedback on depth and structure, and offer guidance on best practices for agentic AI governance.",Organization needs expert review of agentic AI policy and governance strategy to ensure practical implementation.,AI Agents & Chatbots,3,5,15
